1540334834101,3
1540334834123,35.53,31.91,3.62,3.59
1540334834124,35.51,31.97,3.54,3.59
1540334834278,35.51,31.99,3.52,3.59
1540334834282,35.45,31.91,3.54,3.60
1540334834475,35.39,31.95,3.44,3.60
1540334834676,35.43,31.95,3.48,3.60
1540334834873,35.43,31.89,3.54,3.60
1540334835077,35.45,31.91,3.54,3.60
1540334835274,35.45,31.95,3.50,3.60
1540334835475,35.39,31.99,3.40,3.60
1540334835680,35.43,31.99,3.44,3.60
1540334835876,35.43,32.09,3.34,3.60
1540334836077,35.35,32.09,3.26,3.59
1540334836273,35.35,31.67,3.68,3.59
1540334836478,35.31,31.27,4.04,3.59
1540334836674,35.35,30.85,4.50,3.59
1540334836876,35.39,30.71,4.68,3.59
1540334837072,35.45,30.79,4.66,3.59
1540334837273,35.43,30.79,4.64,3.61
1540334837473,35.43,30.85,4.58,3.62
1540334837675,35.51,30.85,4.66,3.64
1540334837875,35.51,31.11,4.40,3.66
1540334838072,35.51,31.21,4.30,3.67
1540334838277,35.51,31.29,4.22,3.70
1540334838473,35.39,31.33,4.06,3.71
1540334838674,35.43,31.47,3.96,3.73
1540334838870,35.39,31.61,3.78,3.75
1540334839075,35.45,31.63,3.82,3.77
1540334839272,35.39,31.67,3.72,3.78
1540334839472,35.43,31.57,3.86,3.79
1540334839669,35.37,31.63,3.74,3.80
1540334839874,35.39,31.67,3.72,3.81
1540334840075,35.39,31.61,3.78,3.82
1540334840271,35.39,31.63,3.76,3.83
1540334840476,35.39,31.57,3.82,3.83
1540334840673,35.37,31.55,3.82,3.84
1540334840873,35.37,31.67,3.70,3.84
1540334841070,35.43,31.67,3.76,3.84
1540334841270,35.35,31.75,3.60,3.85
1540334841467,35.43,31.75,3.68,3.85
1540334841672,35.39,31.77,3.62,3.85
1540334841869,35.43,31.85,3.58,3.85
1540334842069,35.37,31.81,3.56,3.85
1540334842274,35.35,31.75,3.60,3.85
1540334842471,35.39,31.75,3.64,3.84
1540334842671,35.43,31.67,3.76,3.84
1540334842868,35.39,31.61,3.78,3.84
1540334843073,35.37,31.57,3.80,3.83
1540334843270,35.39,31.55,3.84,3.83
1540334843470,35.39,31.57,3.82,3.82
1540334843667,35.43,31.61,3.82,3.82
1540334843871,35.35,31.49,3.86,3.82
1540334844072,35.43,31.47,3.96,3.82
1540334844268,35.43,31.61,3.82,3.82
1540334844469,35.43,31.57,3.86,3.81
1540334844666,35.43,31.63,3.80,3.81
1540334844870,35.39,31.47,3.92,3.81
1540334845067,35.35,31.41,3.94,3.81
1540334845269,35.39,31.27,4.12,3.81
1540334845465,35.37,31.25,4.12,3.81
1540334845669,35.37,31.15,4.22,3.81
1540334845870,35.31,31.05,4.26,3.82
1540334846067,35.37,30.91,4.46,3.82
1540334846272,35.31,30.99,4.32,3.83
1540334846468,35.35,31.21,4.14,3.83
1540334846669,35.37,31.35,4.02,3.84
1540334846865,35.39,31.49,3.90,3.85
1540334847068,35.39,31.63,3.76,3.86
1540334847267,35.37,31.63,3.74,3.87
1540334847468,35.39,31.69,3.70,3.87
1540334847664,35.35,31.67,3.68,3.88
1540334847865,35.39,31.61,3.78,3.88
1540334848069,35.37,31.63,3.74,3.88
1540334848266,35.37,31.61,3.76,3.88
1540334848467,35.39,31.49,3.90,3.88
1540334848664,35.35,31.47,3.88,3.88
1540334848868,35.37,31.43,3.94,3.88
1540334849064,35.39,31.43,3.96,3.88
1540334849265,35.43,31.39,4.04,3.89
1540334849462,35.35,31.41,3.94,3.88
1540334849663,35.35,31.55,3.80,3.89
1540334849868,35.35,31.55,3.80,3.89
1540334850064,35.35,31.47,3.88,3.89
1540334850264,35.37,31.55,3.82,3.89
1540334850462,35.37,31.47,3.90,3.89
1540334850666,35.39,31.41,3.98,3.89
1540334850863,35.39,31.47,3.92,3.89
1540334851063,35.43,31.43,4.00,3.89
1540334851260,35.43,31.49,3.94,3.89
1540334851465,35.37,31.49,3.88,3.89
1540334851666,35.45,31.43,4.02,3.89
1540334851862,35.47,31.41,4.06,3.90
1540334852063,35.39,31.35,4.04,3.90
1540334852259,35.53,31.41,4.12,3.90
1540334852464,35.45,31.43,4.02,3.90
1540334852660,35.43,31.55,3.88,3.90
1540334852862,35.47,31.47,4.00,3.91
1540334853058,35.47,31.53,3.94,3.91
1540334853262,35.47,31.43,4.04,3.91
1540334853464,35.47,31.41,4.06,3.91
1540334853660,35.45,31.29,4.16,3.92
1540334853865,35.47,31.29,4.18,3.92
1540334854062,35.51,31.33,4.18,3.92
1540334854262,35.53,31.27,4.26,3.93
1540334854459,35.51,31.35,4.16,3.93
1540334854660,35.47,31.39,4.08,3.94
1540334854860,35.51,31.39,4.12,3.94
1540334855061,35.51,31.39,4.12,3.95
1540334855258,35.53,31.41,4.12,3.96
1540334855458,35.53,31.41,4.12,3.96
1540334855663,35.47,31.41,4.06,3.96
1540334855860,35.53,31.39,4.14,3.97
1540334856060,35.53,31.47,4.06,3.97
1540334856257,35.53,31.43,4.10,3.98
1540334856462,35.59,31.35,4.24,3.98
1540334856659,35.51,31.33,4.18,3.99
1540334856859,35.53,31.33,4.20,4.00
1540334857056,35.55,31.33,4.22,4.00
1540334857260,35.55,31.35,4.20,4.01
1540334857457,35.59,31.27,4.32,4.01
1540334857658,35.53,31.35,4.18,4.02
1540334857854,35.51,31.35,4.16,4.02
1540334858059,35.53,31.35,4.18,4.03
1540334858260,35.55,31.33,4.22,4.04
1540334858457,35.59,31.29,4.30,4.04
1540334858661,35.59,31.25,4.34,4.05
1540334858858,35.67,31.21,4.46,4.06
1540334859059,35.55,31.19,4.36,4.06
1540334859255,35.55,31.15,4.40,4.07
1540334859460,35.59,31.19,4.40,4.08
1540334859656,35.59,31.15,4.44,4.09
1540334859857,35.59,31.19,4.40,4.10
1540334860054,35.67,31.19,4.48,4.10
1540334860259,35.59,31.27,4.32,4.12
1540334860455,35.63,31.19,4.44,4.12
1540334860656,35.61,31.15,4.46,4.13
1540334860852,35.63,31.21,4.42,4.14
1540334861057,35.61,31.27,4.34,4.15
1540334861254,35.59,31.29,4.30,4.16
1540334861455,35.63,31.35,4.28,4.17
1540334861651,35.55,31.35,4.20,4.18
1540334861856,35.61,31.39,4.22,4.18
1540334862057,35.61,31.33,4.28,4.19
1540334862253,35.59,31.39,4.20,4.20
1540334862457,35.63,31.33,4.30,4.20
1540334862655,35.67,31.39,4.28,4.21
1540334862855,35.67,31.33,4.34,4.21
1540334863051,35.59,31.19,4.40,4.21
1540334863257,35.55,31.11,4.44,4.22
1540334863453,35.67,31.15,4.52,4.22
1540334863654,35.61,31.11,4.50,4.23
1540334863850,35.63,31.19,4.44,4.24
1540334864055,35.67,31.13,4.54,4.24
1540334864251,35.63,31.15,4.48,4.25
1540334864453,35.63,31.19,4.44,4.25
1540334864649,35.61,31.15,4.46,4.26
1540334864854,35.63,31.25,4.38,4.27
1540334865055,35.63,31.25,4.38,4.27
1540334865251,35.61,31.35,4.26,4.28
1540334865456,35.69,31.47,4.22,4.28
1540334865653,35.61,31.43,4.18,4.29
1540334865854,35.71,31.49,4.22,4.29
1540334866050,35.67,31.43,4.24,4.29
1540334866255,35.67,31.43,4.24,4.30
1540334866452,35.63,31.53,4.10,4.30
1540334866652,35.67,31.55,4.12,4.30
1540334866849,35.61,31.55,4.06,4.30
1540334867053,35.63,31.57,4.06,4.29
1540334867250,35.67,31.53,4.14,4.30
1540334867451,35.61,31.43,4.18,4.29
1540334867648,35.67,31.41,4.26,4.29
1540334867852,35.63,31.33,4.30,4.29
1540334868053,35.63,31.33,4.30,4.28
1540334868249,35.63,31.27,4.36,4.28
1540334868450,35.67,31.25,4.42,4.28
1540334868651,35.59,31.35,4.24,4.28
1540334868851,35.55,31.35,4.20,4.28
1540334869048,35.59,31.39,4.20,4.28
1540334869253,35.55,31.33,4.22,4.28
1540334869449,35.61,31.33,4.28,4.27
1540334869650,35.55,31.43,4.12,4.28
1540334869847,35.53,31.35,4.18,4.27
1540334870052,35.51,31.35,4.16,4.27
1540334870248,35.51,31.43,4.08,4.27
1540334870449,35.59,31.47,4.12,4.27
1540334870646,35.63,31.41,4.22,4.27
1540334870850,35.59,31.53,4.06,4.27
1540334871047,35.55,31.55,4.00,4.26
1540334871247,35.61,31.47,4.14,4.26
1540334871444,35.61,31.55,4.06,4.25
1540334871649,35.55,31.49,4.06,4.25
1540334871846,35.55,31.49,4.06,4.25
1540334872047,35.59,31.49,4.10,4.24
1540334872251,35.55,31.53,4.02,4.24
1540334872448,35.61,31.55,4.06,4.23
1540334872649,35.53,31.61,3.92,4.23
1540334872845,35.53,31.55,3.98,4.22
1540334873050,35.53,31.53,4.00,4.21
1540334873246,35.47,31.55,3.92,4.21
1540334873447,35.51,31.55,3.96,4.20
1540334873644,35.55,31.53,4.02,4.20
1540334873848,35.59,31.53,4.06,4.19
1540334874044,35.53,31.47,4.06,4.18
1540334874246,35.53,31.55,3.98,4.18
1540334874443,35.47,31.57,3.90,4.17
1540334874647,35.51,31.55,3.96,4.17
1540334874844,35.53,31.55,3.98,4.16
1540334875044,35.43,31.55,3.88,4.15
1540334875241,35.51,31.49,4.02,4.15
1540334875448,35.45,31.47,3.98,4.14
1540334875647,35.51,31.47,4.04,4.14
1540334875843,35.53,31.41,4.12,4.13
1540334876047,35.51,31.41,4.10,4.12
1540334876245,35.47,31.39,4.08,4.12
1540334876445,35.47,31.43,4.04,4.11
1540334876642,35.45,31.47,3.98,4.11
1540334876847,35.47,31.41,4.06,4.11
1540334877043,35.45,31.33,4.12,4.10
1540334877244,35.53,31.29,4.24,4.10
1540334877441,35.47,31.33,4.14,4.10
1540334877641,35.53,31.27,4.26,4.10
1540334877842,35.55,31.33,4.22,4.10
1540334878043,35.55,31.29,4.26,4.09
1540334878239,35.59,31.35,4.24,4.10
1540334878440,35.55,31.43,4.12,4.10
1540334878645,35.53,31.49,4.04,4.10
1540334878842,35.59,31.55,4.04,4.10
1540334879042,35.53,31.61,3.92,4.10
1540334879239,35.53,31.55,3.98,4.10
1540334879444,35.61,31.61,4.00,4.10
1540334879641,35.53,31.61,3.92,4.10
1540334879841,35.59,31.57,4.02,4.09
1540334880039,35.59,31.57,4.02,4.09
1540334880241,35.53,31.57,3.96,4.09
1540334880438,35.55,31.57,3.98,4.09
1540334880639,35.55,31.57,3.98,4.08
1540334880836,35.61,31.57,4.04,4.08
1540334881041,35.55,31.55,4.00,4.08
1540334881241,35.55,31.49,4.06,4.08
1540334881438,35.53,31.57,3.96,4.07
1540334881642,35.61,31.57,4.04,4.07
1540334881840,35.53,31.57,3.96,4.07
1540334882040,35.59,31.67,3.92,4.06
1540334882236,35.53,31.67,3.86,4.06
1540334882442,35.53,31.67,3.86,4.06
1540334882638,35.59,31.57,4.02,4.06
1540334882839,35.61,31.71,3.90,4.05
1540334883035,35.55,31.67,3.88,4.05
1540334883241,35.51,31.63,3.88,4.05
1540334883441,35.53,31.67,3.86,4.04
1540334883638,35.53,31.67,3.86,4.04
1540334883838,35.55,31.67,3.88,4.03
1540334884035,35.55,31.69,3.86,4.03
1540334884240,35.55,31.71,3.84,4.03
1540334884435,35.55,31.61,3.94,4.02
1540334884637,35.47,31.61,3.86,4.01
1540334884834,35.51,31.53,3.98,4.01
1540334885038,35.55,31.53,4.02,4.00
1540334885234,35.47,31.53,3.94,4.00
1540334885436,35.53,31.43,4.10,4.00
