1540165977346,339,33.13,1.26,1.54
1540165977530,34.37,33.11,1.26,1.53
1540165977530,34.37,33.11,1.26,1.53
1540165977530,34.43,33.05,1.38,1.52
1540165977534,34.39,32.95,1.44,1.51
1540165977535,34.39,32.99,1.40,1.51
1540165977720,34.37,33.07,1.30,1.50
1540165977918,34.33,33.05,1.28,1.49
1540165978118,34.31,33.07,1.24,1.49
1540165978315,34.31,33.03,1.28,1.48
1540165978515,34.31,33.03,1.28,1.48
1540165978716,34.33,33.05,1.28,1.47
1540165978913,34.29,33.11,1.18,1.46
1540165979118,34.29,33.05,1.24,1.46
1540165979319,34.29,33.05,1.24,1.45
1540165979515,34.31,33.07,1.24,1.44
1540165979715,34.33,33.11,1.22,1.43
1540165979916,34.33,33.11,1.22,1.43
1540165980112,34.37,33.13,1.24,1.42
1540165980318,34.43,33.07,1.36,1.41
1540165980514,34.45,33.13,1.32,1.41
1540165980715,34.37,33.05,1.32,1.40
1540165980915,34.39,33.13,1.26,1.40
1540165981112,34.37,33.13,1.24,1.39
1540165981313,34.39,33.21,1.18,1.38
1540165981518,34.39,33.17,1.22,1.38
1540165981714,34.37,33.13,1.24,1.37
1540165981915,34.31,33.17,1.14,1.37
1540165982116,34.39,33.13,1.26,1.36
1540165982312,34.37,33.17,1.20,1.36
1540165982517,34.39,33.13,1.26,1.35
1540165982714,34.43,33.13,1.30,1.35
1540165982914,34.39,33.11,1.28,1.34
1540165983115,34.43,33.13,1.30,1.34
1540165983312,34.43,33.11,1.32,1.33
1540165983513,34.37,33.11,1.26,1.33
1540165983718,34.37,33.17,1.20,1.33
1540165983914,34.33,33.11,1.22,1.32
1540165984115,34.33,33.13,1.20,1.32
1540165984315,34.39,33.11,1.28,1.32
1540165984512,34.45,33.11,1.34,1.31
1540165984713,34.37,33.17,1.20,1.31
1540165984909,34.39,33.17,1.22,1.31
1540165985114,34.37,33.17,1.20,1.31
1540165985315,34.29,33.17,1.12,1.30
1540165985511,34.33,33.19,1.14,1.30
1540165985711,34.37,33.13,1.24,1.30
1540165985917,34.33,33.13,1.20,1.29
1540165986109,34.33,33.19,1.14,1.29
1540165986314,34.39,33.17,1.22,1.29
