1539762228972,35.0.25
1539762228972,34.81,34.47,0.34,0.26
1539762228994,3,0.30,0.25
1539762228995,34.63,34.43,0.20,0.25
1539762229057,34.59,34.43,0.16,0.25
1539762229060,34.67,34.45,0.22,0.25
1539762229064,34.71,34.43,0.28,0.25
1539762229069,34.81,34.47,0.34,0.26
1539762229073,34.91,34.45,0.46,0.26
1539762229077,34.99,34.39,0.60,0.26
1539762229257,35.09,34.37,0.72,0.26
1539762229462,34.93,34.37,0.56,0.27
1539762229655,35.05,34.29,0.76,0.27
1539762229859,35.05,34.37,0.68,0.28
1539762230060,35.09,34.39,0.70,0.28
1539762230257,35.01,34.39,0.62,0.29
1539762230457,34.91,34.33,0.58,0.30
1539762230654,34.91,34.29,0.62,0.31
1539762230855,34.89,34.29,0.60,0.32
1539762231060,34.91,34.17,0.74,0.32
1539762231256,34.89,34.23,0.66,0.33
1539762231457,34.89,34.23,0.66,0.34
1539762231657,34.93,34.29,0.64,0.35
1539762231854,34.91,34.31,0.60,0.36
1539762232055,34.89,34.29,0.60,0.37
1539762232259,34.89,34.33,0.56,0.38
1539762232456,34.97,34.33,0.64,0.39
1539762232656,34.97,34.37,0.60,0.40
1539762232857,35.01,34.37,0.64,0.41
1539762233054,35.13,34.39,0.74,0.42
1539762233255,35.07,34.37,0.70,0.43
1539762233452,35.05,34.39,0.66,0.44
1539762233657,35.05,34.33,0.72,0.44
1539762233857,34.99,34.37,0.62,0.45
1539762234054,35.01,34.39,0.62,0.46
1539762234255,35.01,34.33,0.68,0.47
1539762234455,35.13,34.31,0.82,0.48
1539762234651,35.07,34.39,0.68,0.48
1539762234856,35.07,34.25,0.82,0.49
1539762235057,35.15,34.31,0.84,0.50
1539762235254,35.15,34.29,0.86,0.51
1539762235454,35.09,34.25,0.84,0.52
1539762235655,35.07,34.31,0.76,0.53
1539762235851,34.97,34.33,0.64,0.53
1539762236057,34.93,34.37,0.56,0.54
1539762236257,34.91,34.29,0.62,0.55
1539762236453,34.85,34.39,0.46,0.56
1539762236654,34.89,34.37,0.52,0.56
1539762236854,34.81,34.31,0.50,0.57
1539762237051,34.89,34.31,0.58,0.57
1539762237257,34.97,34.29,0.68,0.58
1539762237457,34.93,34.37,0.56,0.58
1539762237654,35.01,34.29,0.72,0.58
1539762237855,34.99,34.33,0.66,0.59
1539762238051,35.07,34.25,0.82,0.59
1539762238252,35.13,34.25,0.88,0.60
1539762238456,35.09,34.23,0.86,0.60
1539762238653,35.01,34.21,0.80,0.60
1539762238854,35.01,34.25,0.76,0.61
1539762239055,34.91,34.23,0.68,0.61
1539762239251,34.99,34.25,0.74,0.62
1539762239452,34.91,34.25,0.66,0.62
1539762239657,35.01,34.29,0.72,0.63
1539762239853,34.97,34.31,0.66,0.63
1539762240054,34.97,34.31,0.66,0.63
