1539816931998,34.87.01,-2.16,-0.64
1539816932013,34.89,36.93,-2.04,-0.70
1539816932138,34.89,36.87,-1.98,-0.75
1539816932138,34.75,36.79,-2.04,-0.80
1539816932341,34.71,36.57,-1.86,-0.85
1539816932545,34.69,36.39,-1.70,-0.90
1539816932732,34.67,36.23,-1.56,-0.95
1539816932935,34.67,36.29,-1.62,-0.99
1539816933138,34.75,36.31,-1.56,-1.03
1539816933341,34.67,36.45,-1.78,-1.07
1539816933529,34.77,36.47,-1.70,-1.10
1539816933732,34.77,36.61,-1.84,-1.14
1539816933935,34.69,36.65,-1.96,-1.17
1539816934138,34.71,36.79,-2.08,-1.20
1539816934341,34.81,36.87,-2.06,-1.23
1539816934529,34.77,36.93,-2.16,-1.26
1539816934732,34.77,36.97,-2.20,-1.29
1539816934935,34.81,37.05,-2.24,-1.32
1539816935139,34.81,37.03,-2.22,-1.35
1539816935326,34.77,37.11,-2.34,-1.38
1539816935529,34.77,37.09,-2.32,-1.41
1539816935732,34.71,37.11,-2.40,-1.45
1539816935936,34.77,37.11,-2.34,-1.47
1539816936139,34.75,37.09,-2.34,-1.50
1539816936342,34.77,37.11,-2.34,-1.54
1539816936529,34.81,37.11,-2.30,-1.56
1539816936732,34.81,37.05,-2.24,-1.59
1539816936935,34.77,37.05,-2.28,-1.62
1539816937138,34.77,37.09,-2.32,-1.65
1539816937326,34.75,37.11,-2.36,-1.68
1539816937529,34.71,37.09,-2.38,-1.70
1539816937733,34.75,37.03,-2.28,-1.73
1539816937936,34.71,37.01,-2.30,-1.75
1539816938139,34.69,37.05,-2.36,-1.78
1539816938342,34.69,37.01,-2.32,-1.80
1539816938529,34.75,37.01,-2.26,-1.82
1539816938733,34.83,37.03,-2.20,-1.85
1539816938936,34.75,37.05,-2.30,-1.87
1539816939139,34.71,37.03,-2.32,-1.89
1539816939327,34.77,36.93,-2.16,-1.91
1539816939530,34.81,36.41,-1.60,-1.92
1539816939733,34.77,35.77,-1.00,-1.94
1539816939936,34.77,35.09,-0.32,-1.95
1539816940139,34.83,34.67,0.16,-1.95
1539816940327,34.91,34.55,0.36,-1.95
1539816940530,34.85,34.69,0.16,-1.93
1539816940733,35.01,34.89,0.12,-1.91
1539816940937,35.01,35.07,-0.06,-1.88
1539816941140,35.19,35.29,-0.10,-1.85
1539816941327,35.15,35.31,-0.16,-1.82
1539816941530,35.19,35.81,-0.62,-1.78
1539816941734,35.29,35.89,-0.60,-1.74
1539816941937,35.29,35.67,-0.38,-1.70
1539816942140,35.23,36.15,-0.92,-1.67
1539816942327,35.27,36.47,-1.20,-1.63
1539816942530,35.19,36.53,-1.34,-1.59
1539816942734,35.29,36.71,-1.42,-1.56
1539816942921,35.29,36.79,-1.50,-1.53
1539816943124,35.23,36.97,-1.74,-1.50
1539816943327,35.27,37.09,-1.82,-1.48
1539816943531,35.21,36.71,-1.50,-1.46
1539816943734,35.13,36.37,-1.24,-1.45
1539816943937,35.07,36.15,-1.08,-1.43
1539816944124,35.05,35.93,-0.88,-1.42
1539816944327,34.97,35.85,-0.88,-1.41
1539816944530,34.93,35.83,-0.90,-1.39
1539816944734,34.89,35.75,-0.86,-1.38
